bcr_sample_barcode	bcr_aliquot_barcode	amount	bcr_aliquot_uuid	biospecimen_barcode_bottom	center_id	concentration	date_of_shipment	plate_column	plate_id	plate_row	source_center
TCGA-CV-A464-01A	TCGA-CV-A464-01A-11R-A25Z-13	20.00	CF855FBC-BB5B-475A-A9E3-AC81F9F2FD0C	0128924923	13	0.15	2013-01-30	5	A25Z	A	23
TCGA-CV-A464-01A	TCGA-CV-A464-01A-11R-A266-07	13.00	A0D0594F-44B2-4F15-A2D9-5445C86C5779	0128925211	07	0.15	2013-01-30	5	A266	A	23
TCGA-CV-A464-01A	TCGA-CV-A464-01A-11W-A296-08	80.00	FD5F9307-9484-47BB-B92F-817A6C70924F	0132260585	08	0.50	2013-05-08	5	A296	G	23
TCGA-CV-A464-10A	TCGA-CV-A464-10A-01D-A25X-01	6.70	8EB876EA-705A-4DA4-9DA3-65B1AFBCBB15	0128924442	01	0.15	2013-01-30	11	A25X	G	23
TCGA-CV-A464-10A	TCGA-CV-A464-10A-01D-A25Y-08	40.00	82A24F3A-623E-4A8A-9B8C-E890BC28BF3A	0128924415	08	0.08	2013-01-30	11	A25Y	G	23
TCGA-CV-A464-10A	TCGA-CV-A464-10A-01W-A296-08	80.00	69F50F90-5DEF-4A44-960A-017C7F844BF1	0132260601	08	0.50	2013-05-08	12	A296	G	23
TCGA-CV-A465-01A	TCGA-CV-A465-01A-11D-A25X-01	6.70	E4BD0F5B-78F5-47BF-A056-BBFE4CE62AF4	0128924400	01	0.16	2013-01-30	5	A25X	H	23
TCGA-CV-A465-01A	TCGA-CV-A465-01A-11D-A25Y-08	40.00	3EA64051-624A-41EF-9390-3DEFC46B3C21	0128924360	08	0.08	2013-01-30	5	A25Y	H	23
TCGA-CV-A465-01A	TCGA-CV-A465-01A-11D-A265-05	13.00	1AB2A2F6-DF52-4E58-A17A-F4E106FDA452	0132147652	05	0.16	2013-01-30	5	A265	H	23
TCGA-CV-A465-01A	TCGA-CV-A465-01A-11R-A25Z-13	20.00	419F5C8D-1282-4B5A-83A1-02817AC28E22	0128924908	13	0.16	2013-01-30	5	A25Z	B	23
TCGA-CV-A465-01A	TCGA-CV-A465-01A-11R-A266-07	13.00	C124A911-5E68-4B5B-976A-06FFB95D20EB	0128925196	07	0.16	2013-01-30	5	A266	B	23
TCGA-CV-A465-01A	TCGA-CV-A465-01A-11W-A296-08	80.00	25D61D82-9900-41C3-BF57-FD78035A4117	0132260584	08	0.50	2013-05-08	5	A296	H	23
TCGA-CV-A465-10A	TCGA-CV-A465-10A-01D-A25X-01	6.70	FC3B89FA-81F5-431C-9FAE-333FC5206FD3	0128924420	01	0.17	2013-01-30	11	A25X	H	23
TCGA-CV-A465-10A	TCGA-CV-A465-10A-01D-A25Y-08	40.00	93B1E300-E643-4A9D-9B48-92E3DD3EB0CE	0128924414	08	0.09	2013-01-30	11	A25Y	H	23
TCGA-CV-A465-10A	TCGA-CV-A465-10A-01W-A296-08	80.00	4B264C78-BD4F-4CA2-930E-8C2B9AD9E371	0132260583	08	0.50	2013-05-08	11	A296	H	23
TCGA-CV-A468-01A	TCGA-CV-A468-01A-11D-A25X-01	6.70	5B5949F7-B3B0-4958-B9D1-57757F0672F7	0132159546	01	0.17	2013-01-30	6	A25X	A	23
TCGA-CV-A468-01A	TCGA-CV-A468-01A-11D-A25Y-08	40.00	BE08CB07-E3B2-474C-88A9-675AB5B4A1F6	0128925054	08	0.09	2013-01-30	6	A25Y	A	23
TCGA-CV-A468-01A	TCGA-CV-A468-01A-11D-A265-05	13.00	07A60E34-5C62-40B2-A20B-C30DFE156F50	0132147738	05	0.17	2013-01-30	6	A265	A	23
TCGA-CV-A468-01A	TCGA-CV-A468-01A-11R-A25Z-13	20.00	600738C6-4594-4E10-87F7-6BA72DE1FB94	0128924899	13	0.16	2013-01-30	5	A25Z	C	23
TCGA-CV-A468-01A	TCGA-CV-A468-01A-11R-A266-07	13.00	C721E2A5-6639-45B4-8C5E-539383379C13	0128925187	07	0.16	2013-01-30	5	A266	C	23
TCGA-CV-A468-01A	TCGA-CV-A468-01A-11W-A296-08	80.00	75B4EDF2-38AA-4ADF-A9FF-0A8A7C293F00	0132260577	08	0.50	2013-05-08	6	A296	A	23
TCGA-CV-A468-10A	TCGA-CV-A468-10A-01D-A25X-01	6.70	D4EC9D13-C347-495A-B0E6-EC801026DF48	0128924429	01	0.16	2013-01-30	12	A25X	A	23
TCGA-CV-A468-10A	TCGA-CV-A468-10A-01D-A25Y-08	40.00	B6BD1712-25DD-4AEB-A340-41D8F63F4FC7	0128924382	08	0.08	2013-01-30	12	A25Y	A	23
TCGA-CV-A468-10A	TCGA-CV-A468-10A-01W-A296-08	80.00	878C5CBF-4A44-4531-A468-C627D7C9934B	0132260604	08	0.50	2013-05-08	12	A296	A	23
TCGA-CV-A6JD-01A	TCGA-CV-A6JD-01A-11D-A31K-01	6.70	304FFE1E-E343-4124-B589-0B82F43DC547	0150756379	01	0.16	2013-07-24	5	A31K	A	23
TCGA-CV-A6JD-01A	TCGA-CV-A6JD-01A-11D-A31L-08	40.00	713D72AB-D960-4312-A161-63A6A511373C	0150757723	08	0.08	2013-07-24	5	A31L	A	23
TCGA-CV-A6JD-01A	TCGA-CV-A6JD-01A-11D-A31M-05	13.00	A440D5DB-884C-46E7-B44C-7BC25FF1FD38	0150754555	05	0.16	2013-07-24	5	A31M	A	23
