,n_patients,tumor_t1t2,event_free_survival,gender,rate,survival
ABCB1,13,1.0,0.91039546069171784,1.0,0.0023016886354686951,0.89283905518661377
PKHD1,37,1.0,0.91039546069171784,1.0,0.0023016886354686951,0.89283905518661377
COL11A1,34,1.0,0.91039546069171784,1.0,0.0025456285849012098,0.89283905518661377
CSMD3,80,1.0,0.91039546069171784,1.0,0.0025835225193794401,0.89283905518661377
ZNF536,33,1.0,0.91039546069171784,1.0,0.0040958799628898418,0.89283905518661377
DYNC1H1,18,1.0,0.91039546069171784,1.0,0.0045967588506459472,0.89283905518661377
ABCA13,25,1.0,0.91039546069171784,1.0,0.0055859169848652013,0.89283905518661377
PCNX,11,1.0,0.91039546069171784,1.0,0.0055859169848652013,0.89283905518661377
PKHD1L1,34,1.0,0.91039546069171784,1.0,0.0062479202414514557,0.89283905518661377
ROS1,19,1.0,0.91039546069171784,1.0,0.0065161388699798688,0.89283905518661377
NEB,27,1.0,0.91039546069171784,1.0,0.006645710365153993,0.89283905518661377
SI,34,1.0,0.91039546069171784,1.0,0.006645710365153993,0.89283905518661377
BAZ2B,12,1.0,0.91039546069171784,1.0,0.0077636845922217429,0.89283905518661377
SYNE1,52,1.0,0.91039546069171784,1.0,0.0077636845922217429,0.89283905518661377
LARGE,11,1.0,0.91039546069171784,1.0,0.0093524932888442072,0.89283905518661377
SLCO1B3,13,1.0,0.91039546069171784,1.0,0.0093524932888442072,0.89283905518661377
TRPM6,13,1.0,0.91039546069171784,1.0,0.010313415565158168,0.89283905518661377
PCLO,31,1.0,0.91039546069171784,1.0,0.01080479865347321,0.89283905518661377
ANK3,11,1.0,0.91039546069171784,1.0,0.010904357118135279,0.89283905518661377
CDH10,31,1.0,0.91039546069171784,1.0,0.011752197885091532,0.89283905518661377
FAT2,15,1.0,0.91039546069171784,1.0,0.011752197885091532,0.89283905518661377
TP53,137,1.0,0.91039546069171784,1.0,0.011752197885091532,0.89283905518661377
ZNF423,14,1.0,0.91039546069171784,1.0,0.011752197885091532,0.89283905518661377
ADAMTS12,28,1.0,0.91039546069171784,1.0,0.011835186430611839,0.89283905518661377
FREM1,12,1.0,0.91039546069171784,1.0,0.012002266770829537,0.89283905518661377
VCAN,17,1.0,0.91039546069171784,1.0,0.013342645325040882,0.89283905518661377
DNAH9,28,1.0,0.91039546069171784,1.0,0.014072255596902483,0.89283905518661377
SLIT2,14,1.0,0.91039546069171784,1.0,0.014104011816149568,0.89283905518661377
HRNR,19,1.0,0.91039546069171784,1.0,0.015142094063105691,0.89283905518661377
SALL3,14,1.0,0.91039546069171784,1.0,0.018251565930018837,0.89283905518661377
NRXN1,21,1.0,0.91039546069171784,1.0,0.020910282625629183,0.89283905518661377
VPS13D,16,1.0,0.91039546069171784,1.0,0.020993231989917704,0.89283905518661377
DCHS1,14,1.0,0.91039546069171784,1.0,0.023799208487931312,0.89283905518661377
BCLAF1,14,1.0,0.91039546069171784,1.0,0.024708154977102912,0.89283905518661377
RELN,21,1.0,0.91039546069171784,1.0,0.028109335481679369,0.89283905518661377
RIMS2,21,1.0,0.91039546069171784,1.0,0.028109335481679369,0.89283905518661377
SORCS1,19,1.0,0.91039546069171784,1.0,0.028322353729941685,0.89283905518661377
CTNNA2,23,1.0,0.91039546069171784,1.0,0.02857608193344879,0.89283905518661377
LRRK2,23,1.0,0.91039546069171784,1.0,0.02857608193344879,0.89283905518661377
PTPRO,11,1.0,0.91039546069171784,1.0,0.02857608193344879,0.89283905518661377
