bcr_sample_barcode	bcr_analyte_barcode	experimental_protocol_type	protocol_file_name	protocol_name
TCGA-BA-5559-10A	TCGA-BA-5559-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-5559-10A	TCGA-BA-5559-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6868-01B	TCGA-BA-6868-01B-12D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-6868-01B	TCGA-BA-6868-01B-12R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-6868-01B	TCGA-BA-6868-01B-12W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6868-10A	TCGA-BA-6868-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-6868-10A	TCGA-BA-6868-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6869-01A	TCGA-BA-6869-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-6869-01A	TCGA-BA-6869-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-6869-01A	TCGA-BA-6869-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6869-10A	TCGA-BA-6869-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-6869-10A	TCGA-BA-6869-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6870-01A	TCGA-BA-6870-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-6870-01A	TCGA-BA-6870-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-6870-01A	TCGA-BA-6870-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6870-10A	TCGA-BA-6870-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-6870-10A	TCGA-BA-6870-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6871-01A	TCGA-BA-6871-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-6871-01A	TCGA-BA-6871-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-6871-01A	TCGA-BA-6871-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6871-10A	TCGA-BA-6871-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-6871-10A	TCGA-BA-6871-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6872-01A	TCGA-BA-6872-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-6872-01A	TCGA-BA-6872-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-6872-01A	TCGA-BA-6872-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6872-10A	TCGA-BA-6872-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-6872-10A	TCGA-BA-6872-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6873-01A	TCGA-BA-6873-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-6873-01A	TCGA-BA-6873-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-6873-01A	TCGA-BA-6873-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-6873-10A	TCGA-BA-6873-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-6873-10A	TCGA-BA-6873-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-7269-01A	TCGA-BA-7269-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-7269-01A	TCGA-BA-7269-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-7269-01A	TCGA-BA-7269-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-7269-10A	TCGA-BA-7269-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-7269-10A	TCGA-BA-7269-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A4IF-01A	TCGA-BA-A4IF-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
TCGA-BA-A4IF-01A	TCGA-BA-A4IF-01A-11R	mirVana (Allprep DNA) RNA	[Not Available]	[Not Available]
TCGA-BA-A4IF-01A	TCGA-BA-A4IF-01A-11W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A4IF-10A	TCGA-BA-A4IF-10A-01D	Pre-extracted DNA received by TSS	[Not Available]	[Not Available]
TCGA-BA-A4IF-10A	TCGA-BA-A4IF-10A-01W	Repli-G	[Not Available]	[Not Available]
TCGA-BA-A4IG-01A	TCGA-BA-A4IG-01A-11D	aDNA Preparation Type	[Not Available]	[Not Available]
